Time: 2.158, x: 1.13634e-06, y: -7.82111, z: 1.00627, phi: 0.0231129, theta: -6.22766e-08, psi: -7.83955e-10
Time: 2.197, x: 1.14488e-06, y: -7.80796, z: 1.03101, phi: 0.0215168, theta: -6.02734e-08, psi: -6.29796e-10
Time: 2.236, x: 1.15412e-06, y: -7.7903, z: 1.0658, phi: 0.0190594, theta: -5.68441e-08, psi: -4.06709e-10
Time: 2.273, x: 1.15848e-06, y: -7.77914, z: 1.08867, phi: 0.0173165, theta: -5.42064e-08, psi: -2.65764e-10
Time: 2.311, x: 1.16169e-06, y: -7.76779, z: 1.11194, phi: 0.0154591, theta: -5.11912e-08, psi: -1.3027e-10
Time: 2.348, x: 1.16354e-06, y: -7.75686, z: 1.13437, phi: 0.0135795, theta: -4.79809e-08, psi: -1.43029e-11
Time: 2.387, x: 1.16406e-06, y: -7.74603, z: 1.15688, phi: 0.0116081, theta: -4.44971e-08, psi: 8.15062e-11
Time: 2.425, x: 1.16336e-06, y: -7.73607, z: 1.1779, phi: 0.00968318, theta: -4.10437e-08, psi: 1.50476e-10
Time: 2.463, x: 1.16151e-06, y: -7.7261, z: 1.19913, phi: 0.00762771, theta: -3.73617e-08, psi: 2.01156e-10
Time: 2.501, x: 1.15871e-06, y: -7.71633, z: 1.21909, phi: 0.00551939, theta: -3.35905e-08, psi: 2.36941e-10
Time: 2.539, x: 1.15507e-06, y: -7.7067, z: 1.23724, phi: 0.00336448, theta: -2.97388e-08, psi: 2.63294e-10
Time: 2.576, x: 1.1507e-06, y: -7.69715, z: 1.25357, phi: 0.00121579, theta: -2.58406e-08, psi: 2.86112e-10
Time: 2.612, x: 1.14569e-06, y: -7.68763, z: 1.26806, phi: -0.000837213, theta: -2.19556e-08, psi: 3.10521e-10
Time: 2.648, x: 1.14044e-06, y: -7.67859, z: 1.28009, phi: -0.00260733, theta: -1.83464e-08, psi: 3.37666e-10
Time: 2.684, x: 1.13751e-06, y: -7.67379, z: 1.28578, phi: -0.0034727, theta: -1.64715e-08, psi: 3.53118e-10
Time: 2.72, x: 1.13151e-06, y: -7.66439, z: 1.29555, phi: -0.00502599, theta: -1.28776e-08, psi: 3.82789e-10
Time: 2.756, x: 1.12504e-06, y: -7.6546, z: 1.30377, phi: -0.00647777, theta: -9.2594e-09, psi: 4.09113e-10
Time: 2.793, x: 1.11834e-06, y: -7.64466, z: 1.31016, phi: -0.00782215, theta: -5.70613e-09, psi: 4.28635e-10
Time: 2.83, x: 1.11169e-06, y: -7.63479, z: 1.31461, phi: -0.00903635, theta: -2.32271e-09, psi: 4.39747e-10
Time: 2.865, x: 1.1048e-06, y: -7.62443, z: 1.31738, phi: -0.0101824, theta: 1.04525e-09, psi: 4.43387e-10
Time: 2.904, x: 1.09794e-06, y: -7.61381, z: 1.31848, phi: -0.0111513, theta: 4.22443e-09, psi: 4.41213e-10
Time: 2.942, x: 1.0912e-06, y: -7.60291, z: 1.3179, phi: -0.0119071, theta: 7.18012e-09, psi: 4.35094e-10
Time: 2.976, x: 1.0848e-06, y: -7.59201, z: 1.31557, phi: -0.0124421, theta: 9.85291e-09, psi: 4.26353e-10
Time: 3.013, x: 1.07864e-06, y: -7.58081, z: 1.3115, phi: -0.0127829, theta: 1.22981e-08, psi: 4.1635e-10
Time: 3.049, x: 1.07261e-06, y: -7.569, z: 1.30551, phi: -0.0129543, theta: 1.45958e-08, psi: 4.05137e-10
Time: 3.087, x: 1.0671e-06, y: -7.55719, z: 1.29805, phi: -0.0129321, theta: 1.66446e-08, psi: 3.92693e-10
Time: 3.13, x: 1.06213e-06, y: -7.54538, z: 1.28983, phi: -0.0127484, theta: 1.8459e-08, psi: 3.79712e-10
Time: 3.17, x: 1.05739e-06, y: -7.53257, z: 1.28082, phi: -0.0124107, theta: 2.01984e-08, psi: 3.6573e-10
Time: 3.211, x: 1.05151e-06, y: -7.51304, z: 1.26842, phi: -0.0116398, theta: 2.23614e-08, psi: 3.47033e-10
Time: 3.253, x: 1.04842e-06, y: -7.4997, z: 1.26124, phi: -0.0109884, theta: 2.35083e-08, psi: 3.37856e-10
Time: 3.293, x: 1.04594e-06, y: -7.48568, z: 1.25477, phi: -0.0102325, theta: 2.44718e-08, psi: 3.31439e-10
Time: 3.335, x: 1.04418e-06, y: -7.47097, z: 1.24905, phi: -0.00938177, theta: 2.5244e-08, psi: 3.27783e-10
Time: 3.376, x: 1.04322e-06, y: -7.45597, z: 1.24429, phi: -0.00847921, theta: 2.58136e-08, psi: 3.26553e-10
Time: 3.418, x: 1.04307e-06, y: -7.44108, z: 1.24056, phi: -0.00751781, theta: 2.61615e-08, psi: 3.25789e-10
Time: 3.459, x: 1.04434e-06, y: -7.41834, z: 1.23667, phi: -0.0059435, theta: 2.63195e-08, psi: 3.23712e-10
Time: 3.5, x: 1.04617e-06, y: -7.40294, z: 1.23519, phi: -0.00485108, theta: 2.62159e-08, psi: 3.21834e-10
Time: 3.541, x: 1.04881e-06, y: -7.3874, z: 1.23463, phi: -0.00375548, theta: 2.59632e-08, psi: 3.20355e-10
Time: 3.581, x: 1.05222e-06, y: -7.37175, z: 1.23494, phi: -0.00262274, theta: 2.55369e-08, psi: 3.18591e-10
Time: 3.62, x: 1.0564e-06, y: -7.35601, z: 1.23605, phi: -0.00146337, theta: 2.49478e-08, psi: 3.16396e-10
Time: 3.659, x: 1.06132e-06, y: -7.34024, z: 1.23775, phi: -0.000320307, theta: 2.42262e-08, psi: 3.14628e-10
Time: 3.699, x: 1.06695e-06, y: -7.32445, z: 1.23984, phi: 0.000755665, theta: 2.34083e-08, psi: 3.14509e-10
Time: 3.737, x: 1.07325e-06, y: -7.30869, z: 1.24209, phi: 0.00173555, theta: 2.25195e-08, psi: 3.16511e-10
Time: 3.776, x: 1.08018e-06, y: -7.29298, z: 1.2443, phi: 0.00258702, theta: 2.15877e-08, psi: 3.20617e-10
Time: 3.815, x: 1.08751e-06, y: -7.27776, z: 1.24625, phi: 0.003334, theta: 2.06171e-08, psi: 3.24508e-10
Time: 3.854, x: 1.0994e-06, y: -7.2553, z: 1.24858, phi: 0.00432715, theta: 1.90509e-08, psi: 3.25753e-10
Time: 3.894, x: 1.10803e-06, y: -7.24033, z: 1.2497, phi: 0.00489424, theta: 1.79449e-08, psi: 3.22605e-10
Time: 3.931, x: 1.11738e-06, y: -7.22508, z: 1.25048, phi: 0.00538254, theta: 1.679e-08, psi: 3.1626e-10
Time: 3.971, x: 1.12223e-06, y: -7.21752, z: 1.25076, phi: 0.00558872, theta: 1.62119e-08, psi: 3.12193e-10
Time: 4.009, x: 1.13854e-06, y: -7.1935, z: 1.2512, phi: 0.00606752, theta: 1.43893e-08, psi: 2.96591e-10
