Time: 2.83, U1: 18, U2: 0.0191908, U3: -1.68265e-08, U4: -5.86646e-10
Time: 2.865, U1: 18.0003, U2: 0.0185993, U3: -1.52277e-08, U4: -4.32496e-10
Time: 2.904, U1: 18.0006, U2: 0.0188088, U3: -1.85522e-08, U4: -2.33272e-10
Time: 2.942, U1: 18, U2: 0.0152875, U3: -1.61173e-08, U4: -1.48028e-10
Time: 2.976, U1: 18.0105, U2: 0.018186, U3: -1.42536e-08, U4: -1.7021e-10
Time: 3.013, U1: 19.0426, U2: 0.0163463, U3: -1.49441e-08, U4: -7.53056e-11
Time: 3.049, U1: 20.1651, U2: 0.0126386, U3: -1.27847e-08, U4: -5.49045e-12
Time: 3.087, U1: 21.4194, U2: 0.0142131, U3: -1.62921e-08, U4: 1.37921e-10
Time: 3.13, U1: 21.9949, U2: 0.0110967, U3: -1.8344e-08, U4: 2.97023e-10
Time: 3.17, U1: 22, U2: 0.00804308, U3: -1.6152e-08, U4: 3.19878e-10
Time: 3.211, U1: 21.9989, U2: 0.00702947, U3: -1.57659e-08, U4: 2.93816e-10
Time: 3.253, U1: 21.999, U2: 0.00352338, U3: -1.39214e-08, U4: 2.09135e-10
Time: 3.293, U1: 21.9988, U2: 0.00784163, U3: -1.5396e-08, U4: 7.94993e-11
Time: 3.335, U1: 21.9988, U2: 0.00670998, U3: -1.46752e-08, U4: -1.48015e-11
Time: 3.376, U1: 21.9985, U2: 0.00393941, U3: -1.27758e-08, U4: -8.26108e-11
Time: 3.418, U1: 22, U2: -0.000961427, U3: -1.03081e-08, U4: -3.81161e-11
Time: 3.459, U1: 21.9879, U2: 0.00365896, U3: -1.31328e-08, U4: 2.42862e-11
Time: 3.5, U1: 21.8819, U2: 0.00298137, U3: -1.24014e-08, U4: -7.70758e-12
Time: 3.541, U1: 21.5636, U2: -0.00108468, U3: -1.00279e-08, U4: -3.07659e-12
Time: 3.581, U1: 21.2543, U2: -0.00627883, U3: -7.04759e-09, U4: 2.87398e-11
Time: 3.62, U1: 20.9105, U2: -0.00831544, U3: -5.38324e-09, U4: 2.84471e-11
Time: 3.659, U1: 20.5972, U2: -0.012651, U3: -2.53744e-09, U4: -5.62842e-11
Time: 3.699, U1: 20.3539, U2: -0.00694545, U3: -5.22128e-09, U4: -1.9819e-10
Time: 3.737, U1: 20.1989, U2: -0.00520643, U3: -5.77825e-09, U4: -4.3501e-10
Time: 3.776, U1: 20.1198, U2: -0.00777719, U3: -3.48258e-09, U4: -5.87216e-10
Time: 3.815, U1: 20.1136, U2: -0.00832393, U3: -1.86834e-09, U4: -6.01231e-10
Time: 3.854, U1: 20.1972, U2: -0.00906482, U3: -1.93146e-10, U4: -4.94962e-10
Time: 3.894, U1: 20.3008, U2: -0.00927662, U3: 1.44816e-09, U4: -3.95407e-10
Time: 3.931, U1: 20.3715, U2: -0.011347, U3: 2.02665e-09, U4: -3.77871e-10
Time: 3.971, U1: 20.4454, U2: -0.0147388, U3: 6.03639e-09, U4: -3.1585e-10
Time: 4.009, U1: 20.5668, U2: -0.00876159, U3: 2.36383e-09, U4: -3.2421e-10
Time: 4.048, U1: 20.647, U2: -0.00858635, U3: 2.69755e-09, U4: -3.79621e-10
Time: 4.088, U1: 20.6943, U2: -0.000104003, U3: -2.2977e-09, U4: -3.58658e-10
Time: 4.125, U1: 20.7195, U2: 0.0022179, U3: -4.31523e-09, U4: -3.37251e-10
Time: 4.165, U1: 20.7365, U2: -0.00152039, U3: 2.31988e-11, U4: -1.48011e-10
Time: 4.205, U1: 20.7395, U2: -0.00354915, U3: 2.79794e-09, U4: 6.82938e-11
Time: 4.244, U1: 20.7358, U2: -0.0080635, U3: 6.02427e-09, U4: 2.18869e-10
Time: 4.281, U1: 20.7272, U2: -0.00888752, U3: 6.3995e-09, U4: 2.49934e-10
Time: 4.32, U1: 20.716, U2: -0.00708609, U3: 6.72377e-09, U4: 2.0429e-10
Time: 4.359, U1: 20.7047, U2: -0.0046054, U3: 6.04e-09, U4: 1.04956e-10
Time: 4.398, U1: 20.6937, U2: 0.00472967, U3: -6.67128e-10, U4: 1.5168e-11
Time: 4.436, U1: 20.6842, U2: -0.000674058, U3: 4.23318e-09, U4: -4.5163e-11
Time: 4.476, U1: 20.6789, U2: -0.00397136, U3: 7.66546e-09, U4: -9.98422e-12
Time: 4.514, U1: 20.6723, U2: -0.00442561, U3: 8.15022e-09, U4: 2.07326e-11
Time: 4.554, U1: 20.6712, U2: 0.00481407, U3: 9.79218e-10, U4: 5.13042e-11
Time: 4.593, U1: 20.6689, U2: 0.00735499, U3: -1.06972e-09, U4: 5.71827e-11
Time: 4.633, U1: 20.6697, U2: 0.00482708, U3: 1.28877e-09, U4: 7.60431e-11
Time: 4.667, U1: 20.6609, U2: 0.00242462, U3: 2.50564e-09, U4: 7.91087e-11
Time: 4.706, U1: 20.6698, U2: 0.00154259, U3: 5.02378e-09, U4: 1.00856e-10
Time: 4.748, U1: 20.676, U2: 0.00188697, U3: 6.22645e-09, U4: 1.09288e-10
Time: 4.788, U1: 20.6767, U2: -0.000956622, U3: 8.7368e-09, U4: 1.04345e-10
Time: 4.826, U1: 20.6757, U2: -0.000442118, U3: 8.445e-09, U4: 9.65469e-11
Time: 4.868, U1: 20.6809, U2: 0.00441463, U3: 3.53868e-09, U4: 9.5529e-11
Time: 4.908, U1: 20.6796, U2: 0.00395198, U3: 2.74109e-09, U4: 9.70366e-11
Time: 4.947, U1: 20.6781, U2: 0.00414192, U3: 2.20582e-09, U4: 8.72713e-11
Time: 4.986, U1: 20.6776, U2: 0.0101175, U3: -4.78379e-09, U4: 7.14466e-11
Time: 5.026, U1: 20.6787, U2: 0.0101946, U3: -4.67501e-09, U4: 5.60285e-11
Time: 5.065, U1: 20.6778, U2: 0.00870111, U3: -2.53902e-09, U4: 2.62225e-11
Time: 5.105, U1: 20.679, U2: 0.00607645, U3: 3.72528e-10, U4: -1.15693e-11
Time: 5.143, U1: 20.6767, U2: 0.00097133, U3: 5.69314e-09, U4: -4.23018e-11
Time: 5.182, U1: 20.6779, U2: -0.00123041, U3: 7.85688e-09, U4: -5.07304e-11
Time: 5.222, U1: 20.6792, U2: -0.00244413, U3: 9.16489e-09, U4: -3.59635e-11
Time: 5.26, U1: 20.6772, U2: -0.00480764, U3: 1.12964e-08, U4: -2.07626e-12
Time: 5.3, U1: 20.6795, U2: -0.000291346, U3: 4.1067e-09, U4: 6.23587e-11
Time: 5.335, U1: 20.6743, U2: -0.00199569, U3: 8.06068e-09, U4: 8.15333e-11
Time: 5.376, U1: 20.6807, U2: 0.000104938, U3: 3.37976e-09, U4: 1.02277e-10
Time: 5.416, U1: 20.6803, U2: 0.00151259, U3: -8.74597e-11, U4: 9.42219e-11
Time: 5.456, U1: 20.6802, U2: 0.00229844, U3: -1.44492e-09, U4: 7.4088e-11
Time: 5.493, U1: 20.6761, U2: 0.00862077, U3: -9.77997e-09, U4: 4.77781e-11
Time: 5.536, U1: 20.6817, U2: 0.00163917, U3: -8.66377e-10, U4: 2.28067e-11
Time: 5.577, U1: 20.68, U2: -0.000132094, U3: 2.6286e-09, U4: 6.76768e-12
Time: 5.618, U1: 20.6794, U2: -0.00316492, U3: 5.60044e-09, U4: -3.48377e-12
Time: 5.657, U1: 20.6764, U2: -0.00375796, U3: 7.17097e-09, U4: -1.04035e-11
Time: 5.696, U1: 20.6757, U2: -0.00307773, U3: 6.31539e-09, U4: -2.33595e-11
Time: 5.737, U1: 20.6779, U2: -0.001555, U3: 2.80525e-09, U4: -4.28513e-11
Time: 5.777, U1: 20.6771, U2: -0.000951735, U3: 1.18412e-09, U4: -6.26772e-11
Time: 5.815, U1: 20.6749, U2: -0.0036507, U3: 5.02899e-09, U4: -7.36331e-11
Time: 5.856, U1: 20.6785, U2: -0.00333568, U3: 3.28623e-09, U4: -6.91202e-11
Time: 5.891, U1: 20.6721, U2: -0.00287735, U3: 5.31196e-09, U4: -7.66289e-11
Time: 5.931, U1: 20.6782, U2: 0.00505213, U3: -1.13983e-08, U4: -8.66593e-11
Time: 5.969, U1: 20.6769, U2: 0.00749175, U3: -1.49522e-08, U4: -1.01073e-10
Time: 6.011, U1: 20.6823, U2: 0.0038649, U3: -1.1367e-08, U4: -5.77193e-11
Time: 6.051, U1: 20.6807, U2: 0.00145906, U3: -5.67451e-09, U4: 5.28613e-11
Time: 6.09, U1: 20.6794, U2: -0.000834785, U3: -2.63303e-10, U4: 1.71903e-10
Time: 6.13, U1: 20.6796, U2: -0.00225327, U3: 3.31429e-09, U4: 2.2404e-10
Time: 6.17, U1: 20.6791, U2: 0.00303287, U3: -7.95863e-09, U4: 2.04904e-10
Time: 6.208, U1: 20.6763, U2: -0.00519659, U3: 1.09085e-08, U4: 1.3573e-10
Time: 6.248, U1: 20.678, U2: -0.00646146, U3: 1.06214e-08, U4: 4.66883e-11
Time: 6.286, U1: 20.6758, U2: -0.00593814, U3: 1.02418e-08, U4: -7.16257e-11
Time: 6.325, U1: 20.6771, U2: -0.00411408, U3: 5.75889e-09, U4: -2.23662e-10
Time: 6.365, U1: 20.6787, U2: -0.00214457, U3: 2.442e-09, U4: -3.43598e-10
Time: 6.405, U1: 20.6791, U2: -0.0012783, U3: 9.54943e-10, U4: -4.0273e-10
Time: 6.445, U1: 20.6791, U2: -0.000361706, U3: -1.05455e-10, U4: -3.7955e-10
Time: 6.484, U1: 20.6778, U2: -0.00274478, U3: 5.34248e-09, U4: -2.98368e-10
Time: 6.523, U1: 20.6775, U2: -0.00300781, U3: 6.79396e-09, U4: -1.81446e-10
Time: 6.56, U1: 20.6742, U2: -0.00255595, U3: 7.95548e-09, U4: -1.00476e-10
Time: 6.598, U1: 20.6762, U2: 0.00570287, U3: -1.62978e-08, U4: -7.32274e-11
Time: 6.638, U1: 20.6793, U2: 0.00737831, U3: -2.10155e-08, U4: -7.29276e-11
Time: 6.678, U1: 20.6802, U2: 0.00730015, U3: -2.01048e-08, U4: 3.04198e-11
Time: 6.718, U1: 20.6804, U2: 0.0020559, U3: -5.65491e-09, U4: 2.50887e-10
Time: 6.748, U1: 20.6645, U2: -0.000499293, U3: 5.55354e-09, U4: 5.63314e-10
Time: 6.793, U1: 20.6831, U2: -0.0021078, U3: 8.15227e-09, U4: 5.98021e-10
Time: 6.832, U1: 20.6802, U2: -0.00308499, U3: 1.40958e-08, U4: 5.35981e-10
Time: 6.873, U1: 20.6838, U2: -0.00287706, U3: 1.43501e-08, U4: 3.29739e-10
Time: 6.914, U1: 20.6831, U2: -0.00507933, U3: 2.13897e-08, U4: 7.91306e-11
Time: 6.954, U1: 20.6806, U2: 0.00575362, U3: -2.20064e-08, U4: -2.9865e-10
Time: 6.994, U1: 20.6791, U2: 0.00775477, U3: -2.91491e-08, U4: -5.2465e-10
Time: 7.033, U1: 20.6768, U2: 0.00690122, U3: -2.34224e-08, U4: -4.26134e-10
Time: 7.073, U1: 20.6772, U2: 0.00394015, U3: -8.58199e-09, U4: -7.25202e-11
Time: 7.113, U1: 20.6769, U2: 0.000409801, U3: 8.5428e-09, U4: 3.17691e-10
Time: 7.15, U1: 20.673, U2: -0.00512314, U3: 3.33991e-08, U4: 6.08396e-10
Time: 7.19, U1: 20.6769, U2: -0.00713815, U3: 4.00271e-08, U4: 6.64156e-10
Time: 7.229, U1: 20.6763, U2: -0.00699703, U3: 4.29665e-08, U4: 4.60234e-10
Time: 7.267, U1: 20.6759, U2: 0.000978022, U3: -2.87438e-11, U4: 1.2231e-11
Time: 7.304, U1: 20.6745, U2: 0.000682844, U3: 1.21255e-09, U4: -5.01789e-10
Time: 7.343, U1: 20.6781, U2: -0.00127924, U3: 1.12684e-08, U4: -7.8492e-10
Time: 7.382, U1: 20.679, U2: -0.00162282, U3: 1.95102e-08, U4: -7.50484e-10
Time: 7.419, U1: 20.6775, U2: -0.00489297, U3: 4.39616e-08, U4: -6.00523e-10
Time: 7.458, U1: 20.6801, U2: -0.00450163, U3: 4.8439e-08, U4: -4.34542e-10
Time: 7.497, U1: 20.6804, U2: 0.00665219, U3: -3.08031e-08, U4: -3.89816e-10
Time: 7.537, U1: 20.6812, U2: 0.00585613, U3: -2.85208e-08, U4: -4.63338e-10
Time: 7.577, U1: 20.6807, U2: 0.00203207, U3: -1.41122e-09, U4: -7.72242e-11
Time: 7.617, U1: 20.6799, U2: -0.000372151, U3: 2.52668e-08, U4: 4.29427e-10
Time: 7.655, U1: 20.6768, U2: 0.00452066, U3: -1.53492e-08, U4: 7.3479e-10
Time: 7.694, U1: 20.6772, U2: 0.00121266, U3: 9.78084e-09, U4: 7.23516e-10
Time: 7.73, U1: 20.4862, U2: -0.00306883, U3: 5.303e-08, U4: 7.71734e-10
Time: 7.772, U1: 20.5026, U2: -0.00406057, U3: 6.02795e-08, U4: 7.26559e-10
Time: 7.811, U1: 20.4964, U2: -0.00728535, U3: 1.0203e-07, U4: 4.26275e-10
Time: 7.849, U1: 20.5281, U2: -0.000220248, U3: 2.48282e-08, U4: -1.03549e-10
Time: 7.889, U1: 20.5832, U2: 0.00173786, U3: 1.09362e-08, U4: -7.54306e-10
Time: 7.928, U1: 20.6264, U2: 0.000565772, U3: 3.37679e-08, U4: -1.2292e-09
Time: 7.967, U1: 20.6684, U2: -0.00217137, U3: 8.19491e-08, U4: -1.14342e-09
Time: 8.006, U1: 20.7125, U2: -0.000156001, U3: 7.10182e-08, U4: -5.88161e-10
Time: 8.045, U1: 20.7298, U2: -0.00240634, U3: 1.16631e-07, U4: -3.53811e-10
Time: 8.084, U1: 20.7358, U2: 0.00425942, U3: -3.82331e-09, U4: -1.76882e-10
Time: 8.124, U1: 20.7335, U2: 0.00267391, U3: 1.85619e-08, U4: -1.63171e-10
Time: 8.158, U1: 20.7263, U2: 0.00213132, U3: 7.73217e-08, U4: 2.10452e-10
Time: 8.196, U1: 20.717, U2: -0.00119232, U3: 1.39433e-07, U4: 7.54133e-10
Time: 8.235, U1: 20.708, U2: -0.00182474, U3: 1.72266e-07, U4: 1.14138e-09
Time: 8.276, U1: 20.6995, U2: 0.00400597, U3: -2.87957e-09, U4: 1.13029e-09
Time: 8.317, U1: 20.6921, U2: 0.00166066, U3: 6.02682e-08, U4: 7.38637e-10
Time: 8.357, U1: 20.6845, U2: 0.00173464, U3: 1.08205e-07, U4: 5.54563e-10
Time: 8.397, U1: 20.6761, U2: 0.000736917, U3: 1.80632e-07, U4: 9.13988e-10
Time: 8.436, U1: 20.6711, U2: -0.0024044, U3: 3.56685e-07, U4: 1.17839e-09
Time: 8.476, U1: 20.6707, U2: -0.0021108, U3: 4.2285e-07, U4: 1.1752e-09
Time: 8.515, U1: 20.6697, U2: 0.00427655, U3: 1.21328e-07, U4: 4.64965e-10
Time: 8.555, U1: 20.6717, U2: 0.00269765, U3: 2.34534e-07, U4: -4.53235e-10
Time: 8.595, U1: 20.6729, U2: -0.000878228, U3: 5.13387e-07, U4: 1.93368e-11
