Time: 2.678, x: 1.20001e-06, y: -7.22535, z: 1.25053
Time: 2.727, x: 1.20863e-06, y: -7.21078, z: 1.25075
Time: 2.773, x: 1.21549e-06, y: -7.20093, z: 1.25086
Time: 2.82, x: 1.22429e-06, y: -7.18613, z: 1.25098
Time: 2.867, x: 1.23159e-06, y: -7.17579, z: 1.25103
Time: 2.916, x: 1.24114e-06, y: -7.16008, z: 1.25104
Time: 2.963, x: 1.25082e-06, y: -7.14404, z: 1.25101
Time: 3.014, x: 1.25922e-06, y: -7.13258, z: 1.25095
Time: 3.064, x: 1.26977e-06, y: -7.11576, z: 1.25081
Time: 3.115, x: 1.28128e-06, y: -7.09726, z: 1.25062
Time: 3.163, x: 1.29029e-06, y: -7.08483, z: 1.25049
Time: 3.215, x: 1.30301e-06, y: -7.06464, z: 1.25029
Time: 3.261, x: 1.31273e-06, y: -7.05091, z: 1.25018
Time: 3.306, x: 1.32592e-06, y: -7.02941, z: 1.25003
Time: 3.351, x: 1.3361e-06, y: -7.01533, z: 1.24995
Time: 3.396, x: 1.34978e-06, y: -6.99392, z: 1.24986
Time: 3.44, x: 1.36073e-06, y: -6.97884, z: 1.24982
Time: 3.485, x: 1.37475e-06, y: -6.95789, z: 1.24978
Time: 3.531, x: 1.38674e-06, y: -6.94198, z: 1.24977
Time: 3.576, x: 1.39872e-06, y: -6.92635, z: 1.24977
Time: 3.62, x: 1.41441e-06, y: -6.90359, z: 1.24979
Time: 3.667, x: 1.42697e-06, y: -6.88823, z: 1.24982
Time: 3.713, x: 1.44336e-06, y: -6.8658, z: 1.24986
Time: 3.758, x: 1.45623e-06, y: -6.85047, z: 1.2499
Time: 3.801, x: 1.47337e-06, y: -6.82741, z: 1.24994
Time: 3.843, x: 1.48682e-06, y: -6.81146, z: 1.24997
Time: 3.884, x: 1.50012e-06, y: -6.79604, z: 1.24999
Time: 3.927, x: 1.51381e-06, y: -6.78075, z: 1.25
Time: 3.97, x: 1.52885e-06, y: -6.76363, z: 1.25001
Time: 4.012, x: 1.54277e-06, y: -6.74866, z: 1.25002
Time: 4.054, x: 1.56114e-06, y: -6.72692, z: 1.25002
Time: 4.097, x: 1.57528e-06, y: -6.71277, z: 1.25002
Time: 4.138, x: 1.58932e-06, y: -6.69878, z: 1.25001
Time: 4.182, x: 1.60828e-06, y: -6.67829, z: 1.25001
Time: 4.225, x: 1.62317e-06, y: -6.66433, z: 1.25001
Time: 4.266, x: 1.6387e-06, y: -6.64945, z: 1.25
Time: 4.309, x: 1.65344e-06, y: -6.63653, z: 1.25
Time: 4.354, x: 1.67366e-06, y: -6.6167, z: 1.25
Time: 4.398, x: 1.68919e-06, y: -6.60376, z: 1.25
Time: 4.444, x: 1.70599e-06, y: -6.58991, z: 1.25
Time: 4.485, x: 1.72618e-06, y: -6.57104, z: 1.25
Time: 4.526, x: 1.74251e-06, y: -6.55777, z: 1.25
Time: 4.568, x: 1.7587e-06, y: -6.54525, z: 1.25
Time: 4.61, x: 1.77516e-06, y: -6.53278, z: 1.25
Time: 4.647, x: 1.79109e-06, y: -6.52036, z: 1.25
Time: 4.69, x: 1.8133e-06, y: -6.50192, z: 1.25
Time: 4.731, x: 1.83085e-06, y: -6.48918, z: 1.25
Time: 4.777, x: 1.8493e-06, y: -6.47678, z: 1.25
Time: 4.82, x: 1.873e-06, y: -6.45829, z: 1.25
Time: 4.862, x: 1.89196e-06, y: -6.44547, z: 1.25
Time: 4.905, x: 1.91152e-06, y: -6.43262, z: 1.25
Time: 4.948, x: 1.93153e-06, y: -6.41971, z: 1.25
Time: 4.99, x: 1.95748e-06, y: -6.40091, z: 1.25
Time: 5.032, x: 1.97842e-06, y: -6.38785, z: 1.25
Time: 5.074, x: 1.99991e-06, y: -6.37468, z: 1.25
Time: 5.116, x: 2.02159e-06, y: -6.36178, z: 1.25
Time: 5.157, x: 2.04399e-06, y: -6.34844, z: 1.25
Time: 5.199, x: 2.07453e-06, y: -6.32825, z: 1.25
Time: 5.241, x: 2.09857e-06, y: -6.31469, z: 1.25
Time: 5.283, x: 2.12244e-06, y: -6.30177, z: 1.25
Time: 5.323, x: 2.1469e-06, y: -6.28843, z: 1.25
Time: 5.362, x: 2.17338e-06, y: -6.27345, z: 1.25
Time: 5.408, x: 2.2102e-06, y: -6.2523, z: 1.25
Time: 5.449, x: 2.23778e-06, y: -6.23838, z: 1.25
Time: 5.491, x: 2.26635e-06, y: -6.2244, z: 1.25
Time: 5.536, x: 2.2965e-06, y: -6.21037, z: 1.25
Time: 5.578, x: 2.33587e-06, y: -6.1896, z: 1.25
Time: 5.621, x: 2.36715e-06, y: -6.17558, z: 1.25
Time: 5.662, x: 2.39907e-06, y: -6.16139, z: 1.25
Time: 5.703, x: 2.43136e-06, y: -6.14754, z: 1.25
Time: 5.743, x: 2.46942e-06, y: -6.1303, z: 1.25
Time: 5.789, x: 2.50526e-06, y: -6.11642, z: 1.25
Time: 5.828, x: 2.55096e-06, y: -6.09576, z: 1.25
Time: 5.87, x: 2.58728e-06, y: -6.08223, z: 1.25
Time: 5.906, x: 2.62325e-06, y: -6.06832, z: 1.25
Time: 5.95, x: 2.66239e-06, y: -6.05478, z: 1.25
Time: 5.991, x: 2.70647e-06, y: -6.03862, z: 1.25
Time: 6.032, x: 2.74845e-06, y: -6.02433, z: 1.25
Time: 6.073, x: 2.80436e-06, y: -6.00365, z: 1.25
Time: 6.114, x: 2.85176e-06, y: -5.98824, z: 1.25
Time: 6.157, x: 2.89843e-06, y: -5.97434, z: 1.25
Time: 6.198, x: 2.94575e-06, y: -5.96045, z: 1.25
Time: 6.238, x: 2.99331e-06, y: -5.94695, z: 1.25
Time: 6.279, x: 3.05948e-06, y: -5.92638, z: 1.25
Time: 6.317, x: 3.11059e-06, y: -5.91258, z: 1.25
Time: 6.36, x: 3.1668e-06, y: -5.89844, z: 1.25
Time: 6.402, x: 3.22621e-06, y: -5.88375, z: 1.25
Time: 6.445, x: 3.28553e-06, y: -5.87002, z: 1.25
Time: 6.487, x: 3.36524e-06, y: -5.84968, z: 1.25
Time: 6.528, x: 3.42847e-06, y: -5.83599, z: 1.25
Time: 6.569, x: 3.49507e-06, y: -5.82203, z: 1.25
Time: 6.613, x: 3.56729e-06, y: -5.80773, z: 1.25
Time: 6.656, x: 3.64307e-06, y: -5.79307, z: 1.25
Time: 6.7, x: 3.74196e-06, y: -5.77296, z: 1.25
Time: 6.738, x: 3.82291e-06, y: -5.75802, z: 1.25
Time: 6.787, x: 3.91024e-06, y: -5.74451, z: 1.25
Time: 6.834, x: 4.02512e-06, y: -5.72481, z: 1.25
Time: 6.884, x: 4.15261e-06, y: -5.70438, z: 1.25
Time: 6.932, x: 4.25475e-06, y: -5.6909, z: 1.25
