Time: 2.313, vx: -0.00380428, vy: 0.224611, vz: 0.341894, vphi: -0.0200741, vtheta: 0.00157505, vpsi: 8.84532e-05
Time: 2.367, vx: -0.00351433, vy: 0.209869, vz: 0.352, vphi: -0.0314376, vtheta: 0.0013156, vpsi: 8.16813e-05
Time: 2.411, vx: -0.00331459, vy: 0.20198, vz: 0.368858, vphi: -0.0377975, vtheta: 0.00115896, vpsi: 7.86356e-05
Time: 2.462, vx: -0.00298027, vy: 0.190285, vz: 0.389474, vphi: -0.0426702, vtheta: 0.000909803, vpsi: 7.10069e-05
Time: 2.513, vx: -0.00271466, vy: 0.182666, vz: 0.420779, vphi: -0.0451895, vtheta: 0.000741211, vpsi: 6.63326e-05
Time: 2.563, vx: -0.00233952, vy: 0.174456, vz: 0.440708, vphi: -0.0460608, vtheta: 0.000510721, vpsi: 5.85734e-05
Time: 2.612, vx: -0.00198039, vy: 0.169012, vz: 0.431061, vphi: -0.0448397, vtheta: 0.000285201, vpsi: 5.08645e-05
Time: 2.661, vx: -0.00173075, vy: 0.165325, vz: 0.419081, vphi: -0.0423686, vtheta: 0.000133476, vpsi: 4.52565e-05
Time: 2.71, vx: -0.00137477, vy: 0.161225, vz: 0.390504, vphi: -0.0372776, vtheta: -7.47032e-05, vpsi: 3.69991e-05
Time: 2.758, vx: -0.00113121, vy: 0.158997, vz: 0.369025, vphi: -0.0340426, vtheta: -0.000208595, vpsi: 3.25599e-05
Time: 2.806, vx: -0.000783731, vy: 0.156368, vz: 0.339314, vphi: -0.0310839, vtheta: -0.000384184, vpsi: 2.85657e-05
Time: 2.853, vx: -0.000446042, vy: 0.154469, vz: 0.312034, vphi: -0.030578, vtheta: -0.000540675, vpsi: 2.76819e-05
Time: 2.9, vx: -0.000227918, vy: 0.153681, vz: 0.293155, vphi: -0.0312635, vtheta: -0.000632285, vpsi: 2.83161e-05
Time: 2.947, vx: 9.03637e-05, vy: 0.153398, vz: 0.262188, vphi: -0.0326114, vtheta: -0.000757573, vpsi: 2.97316e-05
Time: 2.994, vx: 0.000294267, vy: 0.153919, vz: 0.239864, vphi: -0.0335291, vtheta: -0.000833214, vpsi: 3.05608e-05
Time: 3.04, vx: 0.000560252, vy: 0.155999, vz: 0.206433, vphi: -0.0342263, vtheta: -0.000925343, vpsi: 3.09518e-05
Time: 3.084, vx: 0.00073224, vy: 0.158297, vz: 0.181076, vphi: -0.0327883, vtheta: -0.000978892, vpsi: 2.99079e-05
Time: 3.131, vx: 0.000886312, vy: 0.161003, vz: 0.156068, vphi: -0.0298234, vtheta: -0.00102258, vpsi: 2.78694e-05
Time: 3.18, vx: 0.00108515, vy: 0.165559, vz: 0.120142, vphi: -0.0243497, vtheta: -0.00107916, vpsi: 2.42079e-05
Time: 3.226, vx: 0.00120224, vy: 0.169299, vz: 0.0972911, vphi: -0.0203997, vtheta: -0.00110474, vpsi: 2.16336e-05
Time: 3.27, vx: 0.00135274, vy: 0.174937, vz: 0.065476, vphi: -0.0134888, vtheta: -0.00111105, vpsi: 1.77089e-05
Time: 3.325, vx: 0.00146893, vy: 0.181098, vz: 0.0347843, vphi: -0.00800361, vtheta: -0.00110296, vpsi: 1.43596e-05
Time: 3.371, vx: 0.00152998, vy: 0.185513, vz: 0.0159035, vphi: -0.00517159, vtheta: -0.00109584, vpsi: 1.27101e-05
Time: 3.417, vx: 0.00159475, vy: 0.191149, vz: -0.00360309, vphi: -0.000720579, vtheta: -0.00104429, vpsi: 1.04734e-05
Time: 3.46, vx: 0.00162163, vy: 0.194622, vz: -0.0128484, vphi: 0.00308272, vtheta: -0.00100602, vpsi: 9.04904e-06
Time: 3.507, vx: 0.00163781, vy: 0.199819, vz: -0.0223412, vphi: 0.00897906, vtheta: -0.000955621, vpsi: 7.31465e-06
Time: 3.551, vx: 0.00163301, vy: 0.203025, vz: -0.0258527, vphi: 0.0121035, vtheta: -0.000927732, vpsi: 6.43773e-06
Time: 3.601, vx: 0.00160009, vy: 0.207748, vz: -0.0270059, vphi: 0.0149061, vtheta: -0.000865697, vpsi: 5.14518e-06
Time: 3.651, vx: 0.00156025, vy: 0.21072, vz: -0.0256437, vphi: 0.0163503, vtheta: -0.000816297, vpsi: 4.36046e-06
Time: 3.701, vx: 0.00148527, vy: 0.214804, vz: -0.0216764, vphi: 0.0166066, vtheta: -0.000728001, vpsi: 3.19533e-06
Time: 3.75, vx: 0.00138264, vy: 0.218828, vz: -0.0162022, vphi: 0.015156, vtheta: -0.000616045, vpsi: 1.85181e-06
Time: 3.797, vx: 0.00130729, vy: 0.221097, vz: -0.0127413, vphi: 0.0149804, vtheta: -0.000542135, vpsi: 1.35427e-06
Time: 3.846, vx: 0.00117684, vy: 0.224795, vz: -0.00795971, vphi: 0.0151469, vtheta: -0.000430525, vpsi: 1.00652e-06
Time: 3.896, vx: 0.00108338, vy: 0.226947, vz: -0.00529305, vphi: 0.0153696, vtheta: -0.000361189, vpsi: 9.77011e-07
Time: 3.946, vx: 0.000936069, vy: 0.229575, vz: -0.00222322, vphi: 0.0158631, vtheta: -0.000261836, vpsi: 1.1508e-06
Time: 3.993, vx: 0.000778429, vy: 0.231714, vz: -8.82725e-05, vphi: 0.0156242, vtheta: -0.000163081, vpsi: 1.24857e-06
Time: 4.04, vx: 0.000671546, vy: 0.233106, vz: 0.000761713, vphi: 0.0155231, vtheta: -9.97463e-05, vpsi: 1.3429e-06
Time: 4.087, vx: 0.000496136, vy: 0.234016, vz: 0.00111509, vphi: 0.0180207, vtheta: 1.25639e-07, vpsi: 2.40774e-06
Time: 4.134, vx: 0.000387924, vy: 0.233936, vz: 0.000937208, vphi: 0.0198338, vtheta: 5.96817e-05, vpsi: 3.20819e-06
Time: 4.178, vx: 0.000277736, vy: 0.233554, vz: 0.000645692, vphi: 0.0209211, vtheta: 0.000118502, vpsi: 3.69513e-06
Time: 4.227, vx: 0.000118812, vy: 0.232417, vz: 0.000148988, vphi: 0.0215823, vtheta: 0.000200328, vpsi: 3.90175e-06
Time: 4.272, vx: 8.95653e-06, vy: 0.231202, vz: -0.000168493, vphi: 0.0208956, vtheta: 0.00025727, vpsi: 3.67834e-06
Time: 4.318, vx: -0.000137583, vy: 0.228847, vz: -0.000468742, vphi: 0.0176534, vtheta: 0.000326544, vpsi: 2.70173e-06
Time: 4.365, vx: -0.000231295, vy: 0.226907, vz: -0.000572756, vphi: 0.014327, vtheta: 0.000368649, vpsi: 1.88005e-06
Time: 4.412, vx: -0.00036383, vy: 0.223561, vz: -0.000604746, vphi: 0.00839116, vtheta: 0.000424, vpsi: 8.36936e-07
Time: 4.458, vx: -0.000440946, vy: 0.221281, vz: -0.000565989, vphi: 0.00546818, vtheta: 0.000451466, vpsi: 6.33329e-07
Time: 4.506, vx: -0.000547442, vy: 0.217687, vz: -0.000456961, vphi: 0.00267752, vtheta: 0.000482898, vpsi: 1.05999e-06
Time: 4.552, vx: -0.000608246, vy: 0.215312, vz: -0.000367984, vphi: 0.000858381, vtheta: 0.000498616, vpsi: 1.52716e-06
Time: 4.596, vx: -0.000685888, vy: 0.211765, vz: -0.000240764, vphi: -0.0013563, vtheta: 0.000511725, vpsi: 2.28543e-06
Time: 4.644, vx: -0.000731641, vy: 0.20928, vz: -0.000157503, vphi: -0.00294579, vtheta: 0.000517263, vpsi: 2.83181e-06
Time: 4.692, vx: -0.000783763, vy: 0.205829, vz: -4.9788e-05, vphi: -0.00538676, vtheta: 0.000523052, vpsi: 3.59442e-06
Time: 4.739, vx: -0.000809698, vy: 0.203538, vz: -9.66388e-07, vphi: -0.00725961, vtheta: 0.000517987, vpsi: 3.97026e-06
Time: 4.786, vx: -0.000834542, vy: 0.200311, vz: 4.28859e-05, vphi: -0.00929076, vtheta: 0.000499252, vpsi: 4.40345e-06
Time: 4.833, vx: -0.000841996, vy: 0.198422, vz: 5.90972e-05, vphi: -0.00929144, vtheta: 0.000483348, vpsi: 4.64677e-06
Time: 4.878, vx: -0.000841168, vy: 0.195915, vz: 7.06245e-05, vphi: -0.00850346, vtheta: 0.000456097, vpsi: 4.8698e-06
Time: 4.926, vx: -0.000832937, vy: 0.194317, vz: 7.17325e-05, vphi: -0.00871101, vtheta: 0.000434717, vpsi: 4.9277e-06
Time: 4.974, vx: -0.000809442, vy: 0.192113, vz: 7.16792e-05, vphi: -0.0100729, vtheta: 0.000401083, vpsi: 4.97822e-06
Time: 5.021, vx: -0.000785602, vy: 0.190754, vz: 6.73508e-05, vphi: -0.0105579, vtheta: 0.000373394, vpsi: 4.92259e-06
Time: 5.069, vx: -0.000740685, vy: 0.189059, vz: 5.70978e-05, vphi: -0.0105822, vtheta: 0.000327151, vpsi: 4.71424e-06
Time: 5.117, vx: -0.000705803, vy: 0.188144, vz: 5.00778e-05, vphi: -0.0107155, vtheta: 0.000295447, vpsi: 4.56119e-06
Time: 5.164, vx: -0.000642087, vy: 0.186973, vz: 3.94894e-05, vphi: -0.0110165, vtheta: 0.000242659, vpsi: 4.30675e-06
Time: 5.211, vx: -0.00059776, vy: 0.18645, vz: 3.35942e-05, vphi: -0.0104639, vtheta: 0.000208613, vpsi: 4.04793e-06
Time: 5.258, vx: -0.000521484, vy: 0.185919, vz: 2.60611e-05, vphi: -0.00941658, vtheta: 0.000154692, vpsi: 3.60734e-06
Time: 5.306, vx: -0.000469462, vy: 0.185736, vz: 2.22159e-05, vphi: -0.00926028, vtheta: 0.000120418, vpsi: 3.39467e-06
Time: 5.352, vx: -0.000389859, vy: 0.185683, vz: 1.75193e-05, vphi: -0.00974695, vtheta: 7.08236e-05, vpsi: 3.22539e-06
Time: 5.399, vx: -0.000334536, vy: 0.185828, vz: 1.47358e-05, vphi: -0.00942631, vtheta: 3.79236e-05, vpsi: 3.03926e-06
