Time: 4.014, x: -3.12425e-06, y: -7.40986, z: 1.25
Time: 4.073, x: -3.47697e-06, y: -7.39609, z: 1.25
Time: 4.125, x: -3.72198e-06, y: -7.38299, z: 1.25
Time: 4.174, x: -3.83785e-06, y: -7.37411, z: 1.25
Time: 4.234, x: -3.93596e-06, y: -7.36129, z: 1.25
Time: 4.292, x: -3.94263e-06, y: -7.34417, z: 1.25
Time: 4.353, x: -3.84937e-06, y: -7.33069, z: 1.25
Time: 4.411, x: -3.67994e-06, y: -7.31762, z: 1.25
Time: 4.474, x: -3.45436e-06, y: -7.30541, z: 1.25
Time: 4.536, x: -3.16218e-06, y: -7.29296, z: 1.25
Time: 4.597, x: -2.6955e-06, y: -7.27669, z: 1.25
Time: 4.665, x: -2.29722e-06, y: -7.26472, z: 1.25
Time: 4.728, x: -1.72193e-06, y: -7.24908, z: 1.25
Time: 4.796, x: -1.26709e-06, y: -7.23757, z: 1.25
Time: 4.862, x: -6.65542e-07, y: -7.22289, z: 1.25
Time: 4.929, x: -2.18532e-07, y: -7.21214, z: 1.25
Time: 5, x: 3.82036e-07, y: -7.19749, z: 1.25
Time: 5.076, x: 9.41935e-07, y: -7.18323, z: 1.25
Time: 5.15, x: 1.46087e-06, y: -7.16893, z: 1.25
Time: 5.225, x: 1.90813e-06, y: -7.15511, z: 1.25
Time: 5.299, x: 2.303e-06, y: -7.1408, z: 1.25
Time: 5.372, x: 2.61249e-06, y: -7.12687, z: 1.25
Time: 5.448, x: 2.84196e-06, y: -7.11311, z: 1.25
Time: 5.524, x: 2.99642e-06, y: -7.0991, z: 1.25
Time: 5.598, x: 3.07328e-06, y: -7.08519, z: 1.25
Time: 5.668, x: 3.08366e-06, y: -7.07383, z: 1.25
Time: 5.736, x: 3.0325e-06, y: -7.05931, z: 1.25
Time: 5.803, x: 2.92379e-06, y: -7.04524, z: 1.25
Time: 5.88, x: 2.76279e-06, y: -7.03083, z: 1.25
Time: 5.923, x: 2.66316e-06, y: -7.02338, z: 1.25
Time: 5.968, x: 2.53509e-06, y: -7.0147, z: 1.25
Time: 6.019, x: 2.33516e-06, y: -7.00241, z: 1.25
Time: 6.06, x: 2.19051e-06, y: -6.99404, z: 1.25
Time: 6.109, x: 2.05564e-06, y: -6.98642, z: 1.25
Time: 6.157, x: 1.83798e-06, y: -6.97449, z: 1.25
Time: 6.21, x: 1.69774e-06, y: -6.96677, z: 1.25
Time: 6.263, x: 1.48877e-06, y: -6.95533, z: 1.25
Time: 6.312, x: 1.27951e-06, y: -6.94361, z: 1.25
Time: 6.36, x: 1.14499e-06, y: -6.93574, z: 1.25
Time: 6.41, x: 9.48428e-07, y: -6.92408, z: 1.25
Time: 6.46, x: 7.73668e-07, y: -6.91238, z: 1.25
Time: 6.51, x: 6.61467e-07, y: -6.90444, z: 1.25
Time: 6.566, x: 5.08939e-07, y: -6.89273, z: 1.25
Time: 6.619, x: 3.71851e-07, y: -6.88082, z: 1.25
Time: 6.676, x: 2.57998e-07, y: -6.86934, z: 1.25
Time: 6.73, x: 1.66666e-07, y: -6.85808, z: 1.25
Time: 6.79, x: 9.22862e-08, y: -6.84619, z: 1.25
Time: 6.85, x: 2.78009e-08, y: -6.83076, z: 1.25
Time: 6.912, x: 5.38794e-09, y: -6.81887, z: 1.25
Time: 6.978, x: 5.34021e-09, y: -6.80718, z: 1.25
Time: 7.044, x: 3.72797e-08, y: -6.79112, z: 1.25
Time: 7.108, x: 8.00269e-08, y: -6.77966, z: 1.25
Time: 7.175, x: 1.64387e-07, y: -6.76428, z: 1.25
Time: 7.242, x: 2.4821e-07, y: -6.75247, z: 1.25
