Time: 2.71, x: -0.000731523, y: -7.9918, z: 1.12407, phi: 0.00651893, theta: 0.000341852, psi: -8.25743e-06
Time: 2.758, x: -0.000779015, y: -7.98572, z: 1.13848, phi: 0.00584408, theta: 0.000339106, psi: -7.81345e-06
Time: 2.806, x: -0.000831459, y: -7.97705, z: 1.15795, phi: 0.00495676, theta: 0.000330832, psi: -7.23795e-06
Time: 2.853, x: -0.000865059, y: -7.96851, z: 1.17583, phi: 0.00411514, theta: 0.000318036, psi: -6.68711e-06
Time: 2.9, x: -0.000877391, y: -7.96281, z: 1.18702, phi: 0.00354415, theta: 0.000307139, psi: -6.30747e-06
Time: 2.947, x: -0.000881042, y: -7.95406, z: 1.20284, phi: 0.00263376, theta: 0.000287249, psi: -5.68987e-06
Time: 2.994, x: -0.000873401, y: -7.94807, z: 1.21262, phi: 0.00198863, theta: 0.000271705, psi: -5.24608e-06
Time: 3.04, x: -0.000849645, y: -7.93956, z: 1.22489, phi: 0.00105417, theta: 0.000247443, psi: -4.60323e-06
Time: 3.084, x: -0.000824309, y: -7.93343, z: 1.23244, phi: 0.000398111, theta: 0.000228848, psi: -4.1513e-06
Time: 3.131, x: -0.000793436, y: -7.92736, z: 1.23884, phi: -0.000199545, theta: 0.0002098, psi: -3.72993e-06
Time: 3.18, x: -0.000738989, y: -7.91838, z: 1.24641, phi: -0.000945072, theta: 0.000180873, psi: -3.17676e-06
Time: 3.226, x: -0.000696572, y: -7.91219, z: 1.25041, phi: -0.00135842, theta: 0.00016062, psi: -2.84755e-06
Time: 3.27, x: -0.000624804, y: -7.90254, z: 1.25494, phi: -0.00183606, theta: 0.000129475, psi: -2.41662e-06
Time: 3.325, x: -0.000547007, y: -7.89275, z: 1.25768, phi: -0.00212258, theta: 9.9034e-05, psi: -2.07349e-06
Time: 3.371, x: -0.000491455, y: -7.88597, z: 1.2586, phi: -0.00224283, theta: 7.86916e-05, psi: -1.87957e-06
Time: 3.417, x: -0.000405348, y: -7.8756, z: 1.25885, phi: -0.0023251, theta: 4.90683e-05, psi: -1.63449e-06
Time: 3.46, x: -0.000345793, y: -7.86846, z: 1.25854, phi: -0.00230416, theta: 3.01511e-05, psi: -1.49799e-06
