Time: 2.994, Fy: 0.198781, U1: 25.5177, U2: 0.0147725, U3: -0.000117244, U4: -9.3677e-06
Time: 3.04, Fy: 0.195854, U1: 25.5102, U2: 0.0189357, U3: -9.38283e-05, U4: -1.21711e-05
Time: 3.084, Fy: 0.190478, U1: 25.5366, U2: 0.0197143, U3: -8.85275e-05, U4: -1.27645e-05
Time: 3.131, Fy: 0.228713, U1: 25.6874, U2: 0.0221756, U3: -4.14623e-05, U4: -1.26471e-05
Time: 3.18, Fy: 0.15512, U1: 25.8223, U2: 0.0207361, U3: 1.37072e-05, U4: -1.13403e-05
Time: 3.226, Fy: 0.219628, U1: 25.7809, U2: 0.0195172, U3: 1.30755e-05, U4: -9.88172e-06
Time: 3.27, Fy: 0.209705, U1: 25.9879, U2: 0.0178054, U3: 1.88738e-05, U4: -7.56553e-06
Time: 3.325, Fy: 0.12548, U1: 26.5906, U2: 0.0146432, U3: 0.000122251, U4: -6.15963e-06
Time: 3.371, Fy: 0.130305, U1: 26.6827, U2: 0.0172256, U3: 7.6614e-05, U4: -4.81316e-06
Time: 3.417, Fy: 0.128713, U1: 26.985, U2: 0.0163336, U3: 8.12322e-05, U4: -3.54732e-06
Time: 3.46, Fy: 0.130273, U1: 27.1087, U2: 0.0144845, U3: 6.42327e-05, U4: -2.53715e-06
Time: 3.507, Fy: 0.126044, U1: 27.3779, U2: 0.00972883, U3: 0.000108102, U4: -1.64098e-06
Time: 3.551, Fy: 0.12836, U1: 27.467, U2: 0.0101963, U3: 0.000109362, U4: -9.78563e-07
Time: 3.601, Fy: 0.169861, U1: 27.6021, U2: 0.00769224, U3: 0.000163487, U4: -3.79548e-07
Time: 3.651, Fy: 0.168941, U1: 27.6229, U2: 0.00603, U3: 0.000176766, U4: 1.48444e-07
Time: 3.701, Fy: 0.165171, U1: 27.616, U2: 0.00886055, U3: 0.000182345, U4: 1.05359e-06
Time: 3.75, Fy: 0.205762, U1: 27.5739, U2: 0.0110774, U3: 0.000172888, U4: 2.25046e-06
Time: 3.797, Fy: 0.183023, U1: 27.5401, U2: 0.0102531, U3: 0.000161925, U4: 2.78818e-06
Time: 3.846, Fy: 0.177937, U1: 27.4792, U2: 0.0102763, U3: 0.000157444, U4: 3.05595e-06
Time: 3.896, Fy: 0.178792, U1: 27.4429, U2: 0.00825783, U3: 0.000154581, U4: 3.06832e-06
Time: 3.946, Fy: 0.203302, U1: 27.4017, U2: 0.0106951, U3: 0.000149812, U4: 2.9498e-06
Time: 3.993, Fy: 0.124425, U1: 27.347, U2: 0.012348, U3: 0.000145024, U4: 3.02133e-06
Time: 4.04, Fy: 0.124866, U1: 27.3323, U2: 0.0107967, U3: 0.000141172, U4: 2.96096e-06
Time: 4.087, Fy: 0.124942, U1: 27.3236, U2: 0.00795395, U3: 0.00013281, U4: 1.96264e-06
Time: 4.134, Fy: 0.124644, U1: 27.3246, U2: 0.00742251, U3: 0.0001262, U4: 1.16434e-06
Time: 4.178, Fy: 0.129275, U1: 27.3283, U2: 0.00365298, U3: 0.000125228, U4: 7.8439e-07
Time: 4.227, Fy: 0.12347, U1: 27.3381, U2: -0.000468664, U3: 9.86632e-05, U4: 3.3207e-07
Time: 4.272, Fy: 0.128085, U1: 27.3433, U2: -0.00210105, U3: 9.73377e-05, U4: 6.95711e-07
Time: 4.318, Fy: 0.127065, U1: 27.3503, U2: -0.00337254, U3: 7.72528e-05, U4: 1.67323e-06
Time: 4.365, Fy: 0.12617, U1: 27.3531, U2: 3.02292e-05, U3: 6.17349e-05, U4: 2.52563e-06
Time: 4.412, Fy: 0.126156, U1: 27.3557, U2: 0.00292408, U3: 4.26617e-05, U4: 3.78991e-06
Time: 4.458, Fy: 0.127028, U1: 27.3564, U2: 0.00173655, U3: 3.58511e-05, U4: 4.24494e-06
Time: 4.506, Fy: 0.125358, U1: 27.3558, U2: 0.00333629, U3: 1.38751e-05, U4: 3.96988e-06
Time: 4.552, Fy: 0.127032, U1: 27.3554, U2: 0.0025911, U3: 1.20602e-05, U4: 3.7692e-06
Time: 4.596, Fy: 0.129085, U1: 27.3546, U2: 0.00265497, U3: 8.0113e-06, U4: 3.27752e-06
Time: 4.644, Fy: 0.12537, U1: 27.3526, U2: 0.00179935, U3: -1.70041e-05, U4: 2.53498e-06
Time: 4.692, Fy: 0.125377, U1: 27.3511, U2: 0.00382346, U3: -3.40145e-05, U4: 1.74866e-06
Time: 4.739, Fy: 0.126177, U1: 27.3504, U2: 0.00724335, U3: -3.87313e-05, U4: 1.34345e-06
Time: 4.786, Fy: 0.126179, U1: 27.3496, U2: 0.00831251, U3: -4.70815e-05, U4: 7.36962e-07
Time: 4.833, Fy: 0.126179, U1: 27.3492, U2: 0.00546454, U3: -5.19912e-05, U4: 3.50105e-07
Time: 4.878, Fy: 0.128036, U1: 27.3491, U2: 0.0038355, U3: -5.34117e-05, U4: -6.29137e-08
Time: 4.926, Fy: 0.125382, U1: 27.3487, U2: 0.00606544, U3: -6.61723e-05, U4: -4.45912e-07
Time: 4.974, Fy: 0.125381, U1: 27.3485, U2: 0.00675449, U3: -7.41691e-05, U4: -8.13602e-07
Time: 5.021, Fy: 0.126178, U1: 27.3485, U2: 0.00607259, U3: -7.60309e-05, U4: -9.63179e-07
Time: 5.069, Fy: 0.125377, U1: 27.3485, U2: 0.00611612, U3: -8.04322e-05, U4: -1.13747e-06
Time: 5.117, Fy: 0.125377, U1: 27.3485, U2: 0.00856091, U3: -8.13066e-05, U4: -1.21564e-06
Time: 5.164, Fy: 0.126173, U1: 27.3486, U2: 0.00811521, U3: -8.01976e-05, U4: -1.29449e-06
Time: 5.211, Fy: 0.126172, U1: 27.3487, U2: 0.00673873, U3: -7.93525e-05, U4: -1.25569e-06
Time: 5.258, Fy: 0.12617, U1: 27.3487, U2: 0.00537711, U3: -7.75054e-05, U4: -1.14776e-06
Time: 5.306, Fy: 0.12537, U1: 27.3487, U2: 0.0078121, U3: -7.60307e-05, U4: -1.14783e-06
Time: 5.352, Fy: 0.12705, U1: 27.3489, U2: 0.00895325, U3: -7.32853e-05, U4: -1.22653e-06
Time: 5.399, Fy: 0.126166, U1: 27.3488, U2: 0.00723047, U3: -7.00745e-05, U4: -1.23448e-06
Time: 5.448, Fy: 0.124642, U1: 27.3488, U2: 0.0101457, U3: -6.33954e-05, U4: -1.12835e-06
Time: 5.494, Fy: 0.127048, U1: 27.3489, U2: 0.00966939, U3: -6.20849e-05, U4: -1.06678e-06
Time: 5.541, Fy: 0.126164, U1: 27.3489, U2: 0.00810486, U3: -5.4979e-05, U4: -8.62173e-07
Time: 5.586, Fy: 0.128023, U1: 27.3491, U2: 0.00983824, U3: -5.30247e-05, U4: -6.52072e-07
Time: 5.634, Fy: 0.125365, U1: 27.3489, U2: 0.00738146, U3: -4.35165e-05, U4: -5.34398e-07
Time: 5.681, Fy: 0.126165, U1: 27.3489, U2: 0.010219, U3: -3.59053e-05, U4: -2.703e-07
Time: 5.727, Fy: 0.127047, U1: 27.3489, U2: 0.00918583, U3: -2.86106e-05, U4: -8.98337e-08
Time: 5.772, Fy: 0.128022, U1: 27.3491, U2: 0.0067888, U3: -2.48946e-05, U4: 1.04749e-07
Time: 5.816, Fy: 0.129103, U1: 27.3494, U2: 0.00836418, U3: -2.18461e-05, U4: 2.84194e-07
Time: 5.866, Fy: 0.123983, U1: 27.349, U2: 0.00677719, U3: -1.52283e-06, U4: 3.89315e-07
Time: 5.913, Fy: 0.126166, U1: 27.3488, U2: 0.00511914, U3: -2.02552e-07, U4: 4.9464e-07
Time: 5.957, Fy: 0.129105, U1: 27.3492, U2: 0.00741184, U3: -1.0697e-06, U4: 5.8166e-07
Time: 6.011, Fy: 0.190939, U1: 27.3682, U2: 0.0068974, U3: 2.23481e-05, U4: 5.2897e-07
Time: 6.06, Fy: 0.124645, U1: 27.3488, U2: 0.00981614, U3: 1.89712e-05, U4: 5.54662e-07
Time: 6.106, Fy: 0.12708, U1: 27.344, U2: 0.0113146, U3: 1.73102e-05, U4: 5.14003e-07
Time: 6.15, Fy: 0.129158, U1: 27.3421, U2: 0.00983693, U3: 1.53856e-05, U4: 4.6626e-07
Time: 6.205, Fy: 0.18281, U1: 27.3629, U2: 0.00941094, U3: 3.5432e-05, U4: 4.25468e-07
Time: 6.257, Fy: 0.194246, U1: 27.3636, U2: 0.0075374, U3: 3.57035e-05, U4: 4.78785e-07
Time: 6.304, Fy: 0.126214, U1: 27.3412, U2: 0.00670077, U3: 3.26962e-05, U4: 6.58019e-07
Time: 6.349, Fy: 0.128124, U1: 27.3349, U2: 0.0112896, U3: 3.06253e-05, U4: 8.8466e-07
Time: 6.399, Fy: 0.124046, U1: 27.3364, U2: 0.00477391, U3: 3.62113e-05, U4: 9.10742e-07
Time: 6.446, Fy: 0.126233, U1: 27.3383, U2: 0.0043062, U3: 3.68726e-05, U4: 9.24388e-07
Time: 6.494, Fy: 0.125414, U1: 27.3412, U2: 0.000221064, U3: 3.86247e-05, U4: 9.42902e-07
Time: 6.542, Fy: 0.125395, U1: 27.3451, U2: 0.00166245, U3: 3.96005e-05, U4: 1.06025e-06
Time: 6.59, Fy: 0.125383, U1: 27.3474, U2: 0.00337442, U3: 3.96924e-05, U4: 1.16633e-06
Time: 6.638, Fy: 0.125368, U1: 27.3501, U2: 0.00615024, U3: 3.88724e-05, U4: 1.23396e-06
Time: 6.683, Fy: 0.128015, U1: 27.3514, U2: 0.00758111, U3: 3.80357e-05, U4: 1.18005e-06
Time: 6.729, Fy: 0.127035, U1: 27.3523, U2: 0.0117502, U3: 3.62566e-05, U4: 8.43676e-07
Time: 6.776, Fy: 0.126152, U1: 27.3525, U2: 0.00722852, U3: 3.42757e-05, U4: 5.39683e-07
Time: 6.824, Fy: 0.125357, U1: 27.3523, U2: 0.00865723, U3: 3.09624e-05, U4: 2.21018e-08
Time: 6.871, Fy: 0.126156, U1: 27.3521, U2: 0.0101919, U3: 2.92931e-05, U4: -2.15971e-07
Time: 6.916, Fy: 0.128013, U1: 27.3518, U2: 0.00729337, U3: 2.71623e-05, U4: -3.81423e-07
Time: 6.964, Fy: 0.125365, U1: 27.351, U2: 0.00788997, U3: 2.2719e-05, U4: -4.49802e-07
Time: 7.011, Fy: 0.126167, U1: 27.3503, U2: 0.00668005, U3: 1.91552e-05, U4: -3.81839e-07
Time: 7.058, Fy: 0.12617, U1: 27.3499, U2: 0.0058574, U3: 1.65413e-05, U4: -2.55643e-07
Time: 7.105, Fy: 0.126173, U1: 27.3494, U2: 0.00499585, U3: 1.24917e-05, U4: 1.30847e-08
Time: 7.152, Fy: 0.126174, U1: 27.3492, U2: 0.00358038, U3: 9.80194e-06, U4: 2.27599e-07
Time: 7.198, Fy: 0.127058, U1: 27.3491, U2: 0.00382718, U3: 6.75757e-06, U4: 5.53861e-07
Time: 7.246, Fy: 0.125379, U1: 27.3489, U2: 0.00635344, U3: 2.39295e-06, U4: 7.21124e-07
Time: 7.293, Fy: 0.126177, U1: 27.3488, U2: 0.00758068, U3: -5.74116e-07, U4: 9.13068e-07
Time: 7.34, Fy: 0.126177, U1: 27.3488, U2: 0.00652318, U3: -2.81139e-06, U4: 9.52473e-07
Time: 7.38, Fy: 0.133699, U1: 27.3409, U2: 0.00438985, U3: 2.03195e-06, U4: 1.02847e-06
Time: 7.43, Fy: 0.123996, U1: 27.3489, U2: 0.00635613, U3: -1.01878e-05, U4: 8.56815e-07
Time: 7.479, Fy: 0.124645, U1: 27.3508, U2: 0.00701296, U3: -1.47491e-05, U4: 7.83218e-07
Time: 7.525, Fy: 0.127041, U1: 27.3516, U2: 0.00610911, U3: -1.42159e-05, U4: 7.65677e-07
Time: 7.575, Fy: 0.123984, U1: 27.3513, U2: 0.00417872, U3: -1.77661e-05, U4: 6.7081e-07
Time: 7.623, Fy: 0.125367, U1: 27.3509, U2: 0.00631159, U3: -1.69364e-05, U4: 6.47578e-07
Time: 7.666, Fy: 0.130296, U1: 27.3514, U2: 0.00734863, U3: -1.43544e-05, U4: 6.35741e-07
Time: 7.713, Fy: 0.126169, U1: 27.3498, U2: 0.0049859, U3: -1.68324e-05, U4: 5.48886e-07
Time: 7.76, Fy: 0.126175, U1: 27.3489, U2: 0.00791496, U3: -1.84585e-05, U4: 4.54055e-07
Time: 7.808, Fy: 0.125378, U1: 27.3485, U2: 0.00708332, U3: -1.97418e-05, U4: 3.64943e-07
Time: 7.856, Fy: 0.125378, U1: 27.3482, U2: 0.00562346, U3: -2.03568e-05, U4: 2.95729e-07
Time: 7.903, Fy: 0.126178, U1: 27.3482, U2: 0.00747108, U3: -2.01564e-05, U4: 2.70721e-07
Time: 7.95, Fy: 0.126177, U1: 27.3482, U2: 0.00541006, U3: -1.9857e-05, U4: 2.40411e-07
