Time: 372.842, x: 0.784265, y: 0.784932, z: 1.27672
Time: 372.877, x: 0.792525, y: 0.793083, z: 1.28112
Time: 372.912, x: 0.798399, y: 0.798852, z: 1.27922
Time: 372.948, x: 0.806908, y: 0.807175, z: 1.27415
Time: 372.983, x: 0.815461, y: 0.815506, z: 1.26878
Time: 373.019, x: 0.823627, y: 0.823431, z: 1.26395
Time: 373.054, x: 0.829846, y: 0.82945, z: 1.26065
Time: 373.09, x: 0.83857, y: 0.837878, z: 1.25676
Time: 373.125, x: 0.847378, y: 0.846372, z: 1.25374
Time: 373.161, x: 0.8533, y: 0.852077, z: 1.2522
Time: 373.196, x: 0.86229, y: 0.860734, z: 1.25046
Time: 373.231, x: 0.871364, y: 0.869467, z: 1.2494
Time: 373.266, x: 0.877476, y: 0.875352, z: 1.24897
Time: 373.3, x: 0.886745, y: 0.884284, z: 1.24881
Time: 373.334, x: 0.896129, y: 0.893337, z: 1.24913
Time: 373.369, x: 0.902448, y: 0.89944, z: 1.24935
Time: 373.403, x: 0.912019, y: 0.908698, z: 1.24965
Time: 373.437, x: 0.921687, y: 0.918069, z: 1.24991
Time: 373.472, x: 0.928186, y: 0.924379, z: 1.25006
Time: 373.507, x: 0.938009, y: 0.933938, z: 1.25027
Time: 373.541, x: 0.947917, y: 0.943604, z: 1.25043
Time: 373.575, x: 0.954564, y: 0.950102, z: 1.25052
Time: 373.609, x: 0.964598, y: 0.959933, z: 1.25062
Time: 373.644, x: 0.97444, y: 0.969604, z: 1.25068
Time: 373.679, x: 0.981472, y: 0.976528, z: 1.2507
Time: 373.714, x: 0.99168, y: 0.986603, z: 1.2507
Time: 373.748, x: 1.00168, y: 0.996502, z: 1.25067
Time: 373.782, x: 1.00883, y: 1.00358, z: 1.25062
Time: 373.817, x: 1.01919, y: 1.01388, z: 1.25053
Time: 373.852, x: 1.02933, y: 1.02398, z: 1.25043
Time: 373.886, x: 1.03655, y: 1.0312, z: 1.25036
Time: 373.921, x: 1.04702, y: 1.04167, z: 1.25026
Time: 373.956, x: 1.05723, y: 1.05191, z: 1.25018
Time: 373.99, x: 1.06449, y: 1.05921, z: 1.25013
Time: 374.025, x: 1.07498, y: 1.06978, z: 1.25007
Time: 374.059, x: 1.08492, y: 1.07982, z: 1.25003
Time: 374.093, x: 1.09244, y: 1.08741, z: 1.25001
Time: 374.128, x: 1.10048, y: 1.09556, z: 1.24999
Time: 374.162, x: 1.11093, y: 1.10615, z: 1.24998
Time: 374.196, x: 1.12136, y: 1.11673, z: 1.24998
Time: 374.231, x: 1.12829, y: 1.12377, z: 1.24998
Time: 374.266, x: 1.13869, y: 1.13433, z: 1.24998
Time: 374.301, x: 1.14906, y: 1.14487, z: 1.24999
Time: 374.336, x: 1.15596, y: 1.15189, z: 1.24999
Time: 374.369, x: 1.16628, y: 1.16238, z: 1.25
Time: 374.404, x: 1.17657, y: 1.17284, z: 1.25
Time: 374.438, x: 1.18342, y: 1.1798, z: 1.25001
Time: 374.473, x: 1.19365, y: 1.1902, z: 1.25001
Time: 374.508, x: 1.20386, y: 1.20056, z: 1.25001
Time: 374.542, x: 1.21065, y: 1.20744, z: 1.25001
Time: 374.577, x: 1.2208, y: 1.21774, z: 1.25001
Time: 374.611, x: 1.23093, y: 1.22799, z: 1.25001
Time: 374.646, x: 1.23767, y: 1.23481, z: 1.25001
Time: 374.68, x: 1.24775, y: 1.245, z: 1.25001
Time: 374.715, x: 1.25781, y: 1.25515, z: 1.25001
Time: 374.75, x: 1.2645, y: 1.2619, z: 1.25001
Time: 374.784, x: 1.2745, y: 1.27197, z: 1.25001
Time: 374.819, x: 1.28448, y: 1.282, z: 1.25001
Time: 374.853, x: 1.29111, y: 1.28867, z: 1.25001
Time: 374.887, x: 1.30105, y: 1.29864, z: 1.25001
Time: 374.922, x: 1.31072, y: 1.30833, z: 1.25001
Time: 374.956, x: 1.31758, y: 1.3152, z: 1.25001
Time: 374.991, x: 1.3275, y: 1.32512, z: 1.25001
Time: 375.026, x: 1.33716, y: 1.33476, z: 1.25001
Time: 375.061, x: 1.34403, y: 1.34161, z: 1.25001
Time: 375.095, x: 1.35393, y: 1.35148, z: 1.25001
Time: 375.129, x: 1.36333, y: 1.36084, z: 1.25001
Time: 375.164, x: 1.37046, y: 1.36792, z: 1.25001
Time: 375.198, x: 1.38037, y: 1.37777, z: 1.25001
Time: 375.233, x: 1.38978, y: 1.38713, z: 1.25001
Time: 375.267, x: 1.3969, y: 1.3942, z: 1.25001
Time: 375.301, x: 1.40683, y: 1.40406, z: 1.25001
Time: 375.336, x: 1.41344, y: 1.41062, z: 1.25001
Time: 375.37, x: 1.42338, y: 1.42048, z: 1.25001
Time: 375.405, x: 1.43356, y: 1.43059, z: 1.25001
Time: 375.439, x: 1.44019, y: 1.43717, z: 1.25001
Time: 375.474, x: 1.45015, y: 1.44705, z: 1.25001
Time: 375.509, x: 1.46012, y: 1.45694, z: 1.25001
Time: 375.543, x: 1.46678, y: 1.46356, z: 1.25001
Time: 375.578, x: 1.47678, y: 1.47348, z: 1.25001
Time: 375.612, x: 1.48656, y: 1.48319, z: 1.25001
Time: 375.647, x: 1.4935, y: 1.49009, z: 1.25001
Time: 375.681, x: 1.50355, y: 1.50007, z: 1.25001
Time: 375.716, x: 1.51309, y: 1.50956, z: 1.25001
Time: 375.75, x: 1.52031, y: 1.51674, z: 1.25001
Time: 375.784, x: 1.53039, y: 1.52678, z: 1.25001
Time: 375.819, x: 1.53711, y: 1.53347, z: 1.25001
Time: 375.853, x: 1.54722, y: 1.54354, z: 1.25001
Time: 375.888, x: 1.55734, y: 1.55363, z: 1.25001
Time: 375.922, x: 1.5641, y: 1.56037, z: 1.25001
Time: 375.957, x: 1.5743, y: 1.57055, z: 1.25001
Time: 375.992, x: 1.58445, y: 1.58068, z: 1.25001
Time: 376.028, x: 1.59434, y: 1.59057, z: 1.25001
Time: 376.064, x: 1.60137, y: 1.5976, z: 1.25001
Time: 376.096, x: 1.61152, y: 1.60775, z: 1.25001
Time: 376.131, x: 1.62114, y: 1.61739, z: 1.25001
Time: 376.167, x: 1.62843, y: 1.62468, z: 1.25001
Time: 376.202, x: 1.63857, y: 1.63484, z: 1.25001
Time: 376.238, x: 1.6487, y: 1.645, z: 1.25001
Time: 376.273, x: 1.65544, y: 1.65176, z: 1.25001
Time: 376.309, x: 1.66556, y: 1.66191, z: 1.25001
Time: 376.344, x: 1.67566, y: 1.67205, z: 1.25001
Time: 376.379, x: 1.6855, y: 1.68191, z: 1.25001
Time: 376.415, x: 1.69248, y: 1.68892, z: 1.25001
Time: 376.45, x: 1.70255, y: 1.69903, z: 1.25001
Time: 376.486, x: 1.71261, y: 1.70913, z: 1.25001
Time: 376.521, x: 1.72213, y: 1.71869, z: 1.25001
Time: 376.556, x: 1.72933, y: 1.72592, z: 1.25001
Time: 376.591, x: 1.73934, y: 1.73597, z: 1.25001
Time: 376.626, x: 1.74907, y: 1.74574, z: 1.25001
Time: 376.662, x: 1.75596, y: 1.75265, z: 1.25001
Time: 376.697, x: 1.76592, y: 1.76265, z: 1.25001
Time: 376.733, x: 1.77586, y: 1.77262, z: 1.25001
Time: 376.768, x: 1.78528, y: 1.78208, z: 1.25001
Time: 376.804, x: 1.79241, y: 1.78922, z: 1.25001
Time: 376.839, x: 1.80234, y: 1.79918, z: 1.25001
Time: 376.875, x: 1.81231, y: 1.80915, z: 1.25001
Time: 376.912, x: 1.822, y: 1.81885, z: 1.25001
Time: 376.949, x: 1.82889, y: 1.82575, z: 1.25001
Time: 376.986, x: 1.83883, y: 1.8357, z: 1.25001
Time: 377.022, x: 1.84878, y: 1.84565, z: 1.25001
Time: 377.059, x: 1.85872, y: 1.8556, z: 1.25001
Time: 377.096, x: 1.86867, y: 1.86554, z: 1.25001
Time: 377.132, x: 1.8781, y: 1.87497, z: 1.25001
Time: 377.17, x: 1.88524, y: 1.88211, z: 1.25001
Time: 377.206, x: 1.89514, y: 1.892, z: 1.25001
Time: 377.243, x: 1.90514, y: 1.90198, z: 1.25001
Time: 377.28, x: 1.91506, y: 1.9119, z: 1.25001
Time: 377.318, x: 1.92503, y: 1.92184, z: 1.25001
Time: 377.356, x: 1.93498, y: 1.93177, z: 1.25001
Time: 377.394, x: 1.94493, y: 1.9417, z: 1.25001
Time: 377.432, x: 1.95465, y: 1.9514, z: 1.25001
Time: 377.471, x: 1.9646, y: 1.96134, z: 1.25001
Time: 377.509, x: 1.97429, y: 1.97101, z: 1.25001
Time: 377.548, x: 1.98424, y: 1.98094, z: 1.25001
Time: 377.586, x: 1.99139, y: 1.98808, z: 1.25001
Time: 377.625, x: 2.00133, y: 1.99801, z: 1.25001
Time: 377.664, x: 2.01126, y: 2.00793, z: 1.25001
Time: 377.703, x: 2.02123, y: 2.01787, z: 1.25001
Time: 377.741, x: 2.03117, y: 2.0278, z: 1.25001
Time: 377.78, x: 2.04109, y: 2.03772, z: 1.25001
Time: 377.819, x: 2.051, y: 2.04762, z: 1.25001
Time: 377.857, x: 2.0609, y: 2.05751, z: 1.25001
Time: 377.897, x: 2.07079, y: 2.06739, z: 1.25001
Time: 377.937, x: 2.08063, y: 2.07723, z: 1.25001
Time: 377.977, x: 2.0932, y: 2.08982, z: 1.25001
Time: 378.017, x: 2.10323, y: 2.09985, z: 1.25001
Time: 378.057, x: 2.11324, y: 2.10987, z: 1.25001
Time: 378.097, x: 2.12296, y: 2.11961, z: 1.25001
Time: 378.138, x: 2.13266, y: 2.12932, z: 1.25001
Time: 378.177, x: 2.14239, y: 2.13905, z: 1.25001
Time: 378.217, x: 2.15209, y: 2.14875, z: 1.25001
Time: 378.258, x: 2.16174, y: 2.15841, z: 1.25001
Time: 378.299, x: 2.17135, y: 2.16804, z: 1.25001
Time: 378.341, x: 2.18339, y: 2.1801, z: 1.25001
Time: 378.382, x: 2.19341, y: 2.19014, z: 1.25001
Time: 378.423, x: 2.20319, y: 2.19992, z: 1.25001
Time: 378.464, x: 2.21264, y: 2.2094, z: 1.25001
Time: 378.505, x: 2.22211, y: 2.21887, z: 1.25001
Time: 378.544, x: 2.23162, y: 2.22838, z: 1.25001
Time: 378.583, x: 2.24105, y: 2.23782, z: 1.25001
Time: 378.622, x: 2.25046, y: 2.24724, z: 1.25001
Time: 378.661, x: 2.25987, y: 2.25665, z: 1.25001
Time: 378.7, x: 2.26926, y: 2.26605, z: 1.25001
Time: 378.739, x: 2.27865, y: 2.27544, z: 1.25001
Time: 378.778, x: 2.28875, y: 2.28553, z: 1.25001
Time: 378.817, x: 2.29814, y: 2.29491, z: 1.25001
Time: 378.856, x: 2.30751, y: 2.30428, z: 1.25001
Time: 378.895, x: 2.31691, y: 2.31367, z: 1.25001
Time: 378.934, x: 2.3263, y: 2.32305, z: 1.25001
Time: 378.973, x: 2.33571, y: 2.33245, z: 1.25001
Time: 379.011, x: 2.34513, y: 2.34186, z: 1.25001
Time: 379.05, x: 2.35459, y: 2.3513, z: 1.25001
Time: 379.09, x: 2.36406, y: 2.36075, z: 1.25001
Time: 379.129, x: 2.37355, y: 2.37022, z: 1.25001
Time: 379.167, x: 2.38308, y: 2.37971, z: 1.25001
Time: 379.206, x: 2.39261, y: 2.38922, z: 1.25001
Time: 379.244, x: 2.40214, y: 2.39874, z: 1.25001
Time: 379.283, x: 2.41172, y: 2.4083, z: 1.25001
Time: 379.322, x: 2.42132, y: 2.41787, z: 1.25001
Time: 379.361, x: 2.4309, y: 2.42744, z: 1.25001
Time: 379.4, x: 2.44059, y: 2.43711, z: 1.25001
Time: 379.437, x: 2.44999, y: 2.4465, z: 1.25001
Time: 379.476, x: 2.45964, y: 2.45613, z: 1.25001
Time: 379.514, x: 2.46917, y: 2.46563, z: 1.25001
Time: 379.552, x: 2.47611, y: 2.47258, z: 1.25001
Time: 379.59, x: 2.48589, y: 2.48233, z: 1.25001
Time: 379.63, x: 2.49563, y: 2.49207, z: 1.25001
Time: 379.669, x: 2.50539, y: 2.50184, z: 1.25001
Time: 379.708, x: 2.51516, y: 2.51158, z: 1.25001
Time: 379.747, x: 2.5249, y: 2.52134, z: 1.25001
Time: 379.785, x: 2.53467, y: 2.53111, z: 1.25001
Time: 379.823, x: 2.54445, y: 2.5409, z: 1.25001
Time: 379.86, x: 2.55427, y: 2.55072, z: 1.25001
Time: 379.896, x: 2.56404, y: 2.5605, z: 1.25001
Time: 379.933, x: 2.57384, y: 2.57031, z: 1.25001
Time: 379.97, x: 2.58343, y: 2.5799, z: 1.25001
Time: 380.007, x: 2.59021, y: 2.58669, z: 1.25001
Time: 380.045, x: 2.6, y: 2.59649, z: 1.25001
Time: 380.083, x: 2.60978, y: 2.60629, z: 1.25001
Time: 380.121, x: 2.61955, y: 2.61608, z: 1.25001
Time: 380.158, x: 2.63006, y: 2.62661, z: 1.25001
Time: 380.196, x: 2.63981, y: 2.63638, z: 1.25001
Time: 380.233, x: 2.64929, y: 2.64588, z: 1.25001
Time: 380.271, x: 2.65877, y: 2.65537, z: 1.25001
Time: 380.309, x: 2.66574, y: 2.66236, z: 1.25001
Time: 380.347, x: 2.67544, y: 2.67207, z: 1.25001
Time: 380.385, x: 2.68511, y: 2.68177, z: 1.25001
Time: 380.422, x: 2.69478, y: 2.69147, z: 1.25001
Time: 380.461, x: 2.70445, y: 2.70115, z: 1.25001
Time: 380.498, x: 2.71413, y: 2.71083, z: 1.25001
Time: 380.536, x: 2.72381, y: 2.72053, z: 1.25001
Time: 380.573, x: 2.73351, y: 2.73023, z: 1.25001
Time: 380.611, x: 2.74322, y: 2.73994, z: 1.25001
