Time: 2.95, U1: 18, U2: 0.00827754, U3: -0.00633645, U4: -1.10877e-05
Time: 2.985, U1: 18, U2: 0.00489895, U3: -0.00300639, U4: -1.00083e-05
Time: 3.02, U1: 18, U2: 0.00344339, U3: -0.00155981, U4: -9.09685e-06
Time: 3.057, U1: 18.0004, U2: 0.00364607, U3: -0.00177598, U4: -6.11304e-06
Time: 3.094, U1: 18.0004, U2: 0.00213781, U3: -0.000402123, U4: -2.64852e-06
Time: 3.131, U1: 18.0004, U2: 0.00181843, U3: -0.000263467, U4: 2.58112e-06
Time: 3.168, U1: 18, U2: 0.0027261, U3: -0.0013524, U4: 7.23306e-06
Time: 3.204, U1: 18, U2: 0.00282415, U3: -0.00163798, U4: 1.13604e-05
Time: 3.24, U1: 18.0052, U2: 0.00389301, U3: -0.00279374, U4: 1.18178e-05
Time: 3.275, U1: 18.0456, U2: 0.0021789, U3: -0.00116409, U4: 9.9507e-06
Time: 3.311, U1: 18.9328, U2: 0.000967644, U3: -8.88745e-06, U4: 4.37547e-06
Time: 3.349, U1: 20.2002, U2: 0.00387948, U3: -0.00285542, U4: 2.51376e-07
Time: 3.388, U1: 21.2052, U2: 0.000344364, U3: 0.000481684, U4: -2.37621e-06
Time: 3.428, U1: 21.8382, U2: -0.0039543, U3: 0.00455464, U4: -5.24836e-06
Time: 3.47, U1: 21.9752, U2: -0.00519729, U3: 0.00562013, U4: -5.35652e-06
Time: 3.512, U1: 21.9863, U2: -0.00328322, U3: 0.00354863, U4: 1.44548e-06
Time: 3.554, U1: 21.9639, U2: -0.000212413, U3: 0.000351517, U4: 8.88444e-06
Time: 3.596, U1: 21.8949, U2: 0.000907929, U3: -0.000932528, U4: 1.24867e-05
Time: 3.637, U1: 21.7616, U2: -0.00180634, U3: 0.00154968, U4: 1.12076e-05
Time: 3.678, U1: 21.52, U2: -0.00247908, U3: 0.00217435, U4: 7.08222e-06
Time: 3.72, U1: 21.177, U2: -0.0013676, U3: 0.00109445, U4: 1.67836e-06
Time: 3.76, U1: 20.9512, U2: 0.000611383, U3: -0.000768754, U4: -7.10466e-07
