Time: 360.27, x: 0.692222, y: 0.764914, z: 1.24945
Time: 360.304, x: 0.69636, y: 0.768777, z: 1.24899
Time: 360.338, x: 0.702107, y: 0.774127, z: 1.24878
Time: 360.373, x: 0.707617, y: 0.779227, z: 1.24905
Time: 360.407, x: 0.711835, y: 0.78312, z: 1.24927
Time: 360.442, x: 0.717788, y: 0.788617, z: 1.24955
Time: 360.477, x: 0.721816, y: 0.79234, z: 1.24972
Time: 360.511, x: 0.727955, y: 0.798031, z: 1.24997
Time: 360.546, x: 0.734221, y: 0.803833, z: 1.25019
Time: 360.581, x: 0.740288, y: 0.809423, z: 1.25037
Time: 360.616, x: 0.744957, y: 0.813707, z: 1.25049
Time: 360.651, x: 0.751574, y: 0.819755, z: 1.25064
Time: 360.685, x: 0.757976, y: 0.825584, z: 1.25076
Time: 360.72, x: 0.7629, y: 0.830053, z: 1.25084
Time: 360.753, x: 0.769873, y: 0.836361, z: 1.25093
Time: 360.789, x: 0.774597, y: 0.840619, z: 1.25097
Time: 360.823, x: 0.781796, y: 0.847087, z: 1.25102
Time: 360.857, x: 0.789125, y: 0.853647, z: 1.25104
Time: 360.892, x: 0.794081, y: 0.85807, z: 1.25105
Time: 360.926, x: 0.801618, y: 0.864778, z: 1.25103
Time: 360.961, x: 0.809274, y: 0.871572, z: 1.25099
Time: 360.996, x: 0.814442, y: 0.876158, z: 1.25095
Time: 361.03, x: 0.822283, y: 0.883142, z: 1.25087
Time: 361.065, x: 0.830227, y: 0.890226, z: 1.25078
Time: 361.1, x: 0.835573, y: 0.894993, z: 1.25071
Time: 361.135, x: 0.843658, y: 0.902202, z: 1.2506
Time: 361.169, x: 0.851809, y: 0.909472, z: 1.25049
Time: 361.204, x: 0.857273, y: 0.914356, z: 1.25042
Time: 361.239, x: 0.865503, y: 0.921748, z: 1.25033
Time: 361.274, x: 0.873765, y: 0.929223, z: 1.25024
Time: 361.309, x: 0.881623, y: 0.93638, z: 1.25018
Time: 361.345, x: 0.887576, y: 0.941837, z: 1.25013
Time: 361.379, x: 0.895873, y: 0.949494, z: 1.25009
Time: 361.414, x: 0.903952, y: 0.957016, z: 1.25005
Time: 361.448, x: 0.909686, y: 0.962396, z: 1.25003
Time: 361.483, x: 0.917951, y: 0.970215, z: 1.25001
Time: 361.517, x: 0.925979, y: 0.977887, z: 1.25
Time: 361.552, x: 0.932085, y: 0.983771, z: 1.25
Time: 361.587, x: 0.940265, y: 0.99172, z: 1.24999
Time: 361.621, x: 0.945692, y: 0.997032, z: 1.24999
Time: 361.655, x: 0.953785, y: 1.005, z: 1.24999
Time: 361.69, x: 0.961812, y: 1.01294, z: 1.25
Time: 361.725, x: 0.967124, y: 1.01821, z: 1.25
Time: 361.76, x: 0.975637, y: 1.02668, z: 1.25
Time: 361.795, x: 0.980863, y: 1.03189, z: 1.25
Time: 361.83, x: 0.98864, y: 1.03965, z: 1.25001
Time: 361.864, x: 0.996341, y: 1.04734, z: 1.25001
Time: 361.899, x: 1.00143, y: 1.05242, z: 1.25001
Time: 361.932, x: 1.00901, y: 1.05996, z: 1.25001
Time: 361.968, x: 1.01653, y: 1.06742, z: 1.25001
Time: 362.003, x: 1.0236, y: 1.07441, z: 1.25001
Time: 362.037, x: 1.02892, y: 1.07965, z: 1.25001
Time: 362.071, x: 1.03629, y: 1.08687, z: 1.25001
Time: 362.106, x: 1.04118, y: 1.09164, z: 1.25001
Time: 362.14, x: 1.04849, y: 1.09872, z: 1.25001
Time: 362.173, x: 1.05556, y: 1.10553, z: 1.25
Time: 362.208, x: 1.06057, y: 1.11032, z: 1.25
Time: 362.243, x: 1.06777, y: 1.11717, z: 1.25
Time: 362.277, x: 1.07472, y: 1.12373, z: 1.25
Time: 362.312, x: 1.07967, y: 1.12836, z: 1.25
Time: 362.347, x: 1.08684, y: 1.13503, z: 1.25
Time: 362.381, x: 1.09375, y: 1.14141, z: 1.25
Time: 362.416, x: 1.09868, y: 1.14592, z: 1.25
Time: 362.452, x: 1.1058, y: 1.15241, z: 1.25
Time: 362.486, x: 1.11293, y: 1.15884, z: 1.25
Time: 362.521, x: 1.1177, y: 1.16312, z: 1.25
Time: 362.556, x: 1.12487, y: 1.1695, z: 1.25
Time: 362.591, x: 1.13207, y: 1.17587, z: 1.25
